HEADER,LINK,KEYWORDS
Правила чата,https://t.me/muine_faq/212,"правила чата, muine, муйне, правила, чат, чаты"
Список чатов ,https://t.me/muine_faq/47,"телеграм, канал, группа, чат, телега, форум, нячанг, дананг, интернет, чаты, барахолка"
Банкоматы,https://t.me/muine_faq/48,"банкомат, комиссия, деньги, карты, мастеркард, visa, vpbank, atm, банки, банк"
Симкарты,https://t.me/muine_faq/17,"симка, симку, симкарта, сим, связь, 3g, мобильный интернет, vinaphone, mobifone, viettel, виеттел, оператор, интернет, тариф, 4g, симкарты, SIM карта"
Где лечиться?,https://t.me/muine_faq/10,"главный городской госпиталь, больницы, госпиталь, клиника, поликлиника, медицина, педиатр, доктор, врач, гинеколог, медпункт, лечение, перелом, рентген, болезнь, Vita clinic"
Где арендовать байк в Муйне?,https://t.me/muine_faq/12,"байк, мотобайк, скутер, мопеды, мотоцикл, мото, мотоклуб, байка, мотоцикл, электробайк, аренда, моцик, мотик"
Где сделать копии ключей?,https://t.me/muine_faq/15,"ключ, дубликат, копия"
Регистрация карты Тинькофф,https://www.tinkoff.ru/cards/debit-cards/tinkoff-black/form/3months/?utm_source=vietnam_tb&utm_medium=ntv.fix&utm_campaign=black.muine,"карта, Тинькофф, без комиссии"
Тусовки Муйне,https://t.me/muine_faq/18,"тусовки, кизомба, вечеринки, теннис, баскетбол, дискотека, клуб, бар, настолки, мафия, бар 17, йога, соревнования, паб, пиво, знакомства, афиша, туса,  party, dragon beach, бар, караоке"
Автобус с открытой датой отправления,https://t.me/muine_faq/72,"автобус, опэнбас, лимузин, слипбас, слипер, слиппер, слип, бас"
"Автобусы, слипербас",https://t.me/muine_faq/139,"слиппер, слипер, слип, лимузин, слипбас, бас, автобус, транспорт, трансфер, ханькафе, фута, синьтурист"
Электробайки в Муйне,https://t.me/muine_faq/78,"Электробайк, байк, электроскутер, скутер, аренда"
Такси в Муйне,https://t.me/muine_faq/20,"такси, grab, таксист, таксопарк, граб, поймать, ловить, счетчик"
Как не попасть в аварию на байке?,https://t.me/muine_faq/122,"байк, авария, пдд, безопасность, мото, мотоцикл, трафик, дорога, упасть, вождение, водитель, мопед, скутер"
мотоклуб,https://t.me/moto_sale,"байк, мотобайк, скутер, мопеды, мотоцикл, мото, мотоклуб, моточат, права, запчасти, два колеса"
